"Laps","Time","Cumulative Time","Distance
km","Avg Pace
min/km","Avg GAP
min/km","Avg HR
bpm","Max HR
bpm","Total Ascent
m","Total Descent
m","Avg Power
W","Avg W/kg","Max Power
W","Max W/kg","Avg Run Cadence
spm","Avg Ground Contact Time
ms","Avg GCT Balance
%","Avg Stride Length
m","Avg Vertical Oscillation
cm","Avg Vertical Ratio
%","Calories
C","Avg Temperature","Best Pace
min/km","Max Run Cadence
spm","Moving Time","Avg Moving Pace
min/km","Avg Step Speed Loss
cm/s","Avg Step Speed Loss Percent
%"
"1","5:46.0","5:46.0","1.00","5:46","5:39","127","140","16","0","371","4.43","502","5.99","160","275","--","1.04","8.8","8.5","78","--","5:05","174","5:45","5:45","--","--"
"2","6:09.3","11:55","1.00","6:09","5:58","132","144","15","0","354","4.22","411","4.90","162","286","--","1.00","8.9","8.9","84","--","5:11","169","6:09.3","6:09","--","--"
"3","6:00.4","17:56","1.00","6:00","6:01","129","146","4","1","351","4.19","425","5.07","162","284","--","1.03","9.0","8.7","83","--","5:44","169","6:00","6:00","--","--"
"4","5:57.4","23:53","1.00","5:57","5:59","134","140","5","5","340","4.06","406","4.84","164","277","--","1.01","8.8","8.6","79","--","5:31","171","5:57","5:57","--","--"
"5","5:57.0","29:50","1.00","5:57","5:50","133","142","13","4","355","4.23","436","5.20","163","281","--","1.03","8.9","8.7","80","--","5:29","169","5:57","5:57","--","--"
"6","5:37.1","35:27","1.00","5:37","5:45","129","137","2","10","379","4.52","482","5.75","164","276","--","1.08","9.1","8.4","74","--","5:05","221","5:37","5:37","--","--"
"7","5:52.5","41:20","1.00","5:52","6:03","137","148","3","22","337","4.02","412","4.91","164","280","--","1.05","9.0","8.6","79","--","5:22","170","5:52.5","5:52","--","--"
"8","5:57.1","47:17","1.00","5:57","6:02","130","145","14","13","332","3.96","485","5.78","159","284","--","1.03","8.9","8.8","79","--","4:41","169","5:57.1","5:57","--","--"
"9","5:33.8","52:51","1.00","5:34","5:31","133","140","5","5","368","4.39","446","5.32","164","275","--","1.10","9.2","8.4","80","--","4:56","169","5:33","5:33","--","--"
"10","5:56.3","58:47","1.00","5:56","6:03","141","146","1","6","326","3.89","420","5.01","165","279","--","1.01","8.8","8.7","80","--","5:19","170","5:56.3","5:56","--","--"
"11","6:08.6","1:04:55","1.00","6:09","6:03","140","145","4","2","330","3.94","408","4.87","164","279","--","0.99","8.7","8.7","83","--","5:40","171","6:07","6:07","--","--"
"12","5:55.6","1:10:51","1.00","5:56","5:58","132","140","2","3","328","3.91","389","4.64","167","274","--","1.01","8.6","8.6","78","--","5:13","174","5:55.6","5:56","--","--"
"13","0:17.9","1:11:09","0.06","5:25","5:51","126","128","0","0","336","4.01","354","4.22","171","270","--","0.99","8.4","8.5","4","--","5:50","172","0:17","5:09","--","--"
"Summary","1:11:09","1:11:09","12.06","5:54","5:54","133","148","84","72","347","4.14","502","5.99","163","279","--","1.03","8.9","8.6","960","--","4:41","221","1:11:04","5:54","--","--"
